frame,pts_ns,x,y,width,height
0,0,20,148,64,64
1,33333333,21,148,64,64
2,66666666,22,148,64,64
3,100000000,23,148,64,64
4,133333333,24,148,64,64
5,166666666,25,148,64,64
6,200000000,26,148,64,64
7,233333333,28,148,64,64
8,266666666,29,148,64,64
9,300000000,30,148,64,64
10,333333333,31,148,64,64
11,366666666,32,148,64,64
12,400000000,33,148,64,64
13,433333333,34,148,64,64
14,466666666,35,148,64,64
15,500000000,36,148,64,64
16,533333333,37,148,64,64
17,566666666,38,148,64,64
18,600000000,39,148,64,64
19,633333333,40,148,64,64
20,666666666,41,148,64,64
21,700000000,43,148,64,64
22,733333333,44,148,64,64
23,766666666,45,148,64,64
24,800000000,46,148,64,64
25,833333333,47,148,64,64
26,866666666,48,148,64,64
27,900000000,49,148,64,64
28,933333333,50,148,64,64
29,966666666,51,148,64,64
30,1000000000,52,148,64,64
31,1033333333,53,148,64,64
32,1066666666,54,148,64,64
33,1100000000,55,148,64,64
34,1133333333,57,148,64,64
35,1166666666,58,148,64,64
36,1200000000,59,148,64,64
37,1233333333,60,148,64,64
38,1266666666,61,148,64,64
39,1300000000,62,148,64,64
40,1333333333,63,148,64,64
41,1366666666,64,148,64,64
42,1400000000,65,148,64,64
43,1433333333,66,148,64,64
44,1466666666,67,148,64,64
45,1500000000,68,148,64,64
46,1533333333,69,148,64,64
47,1566666666,70,148,64,64
48,1600000000,72,148,64,64
49,1633333333,73,148,64,64
50,1666666666,74,148,64,64
51,1700000000,75,148,64,64
52,1733333333,76,148,64,64
53,1766666666,77,148,64,64
54,1800000000,78,148,64,64
55,1833333333,79,148,64,64
56,1866666666,80,148,64,64
57,1900000000,81,148,64,64
58,1933333333,82,148,64,64
59,1966666666,83,148,64,64
60,2000000000,84,148,64,64
61,2033333333,86,148,64,64
62,2066666666,87,148,64,64
63,2100000000,88,148,64,64
64,2133333333,89,148,64,64
65,2166666666,90,148,64,64
66,2200000000,91,148,64,64
67,2233333333,92,148,64,64
68,2266666666,93,148,64,64
69,2300000000,94,148,64,64
70,2333333333,95,148,64,64
71,2366666666,96,148,64,64
72,2400000000,97,148,64,64
73,2433333333,98,148,64,64
74,2466666666,99,148,64,64
75,2500000000,101,148,64,64
76,2533333333,102,148,64,64
77,2566666666,103,148,64,64
78,2600000000,104,148,64,64
79,2633333333,105,148,64,64
80,2666666666,106,148,64,64
81,2700000000,107,148,64,64
82,2733333333,108,148,64,64
83,2766666666,109,148,64,64
84,2800000000,110,148,64,64
85,2833333333,111,148,64,64
86,2866666666,112,148,64,64
87,2900000000,113,148,64,64
88,2933333333,115,148,64,64
89,2966666666,116,148,64,64
90,3000000000,117,148,64,64
91,3033333333,118,148,64,64
92,3066666666,119,148,64,64
93,3100000000,120,148,64,64
94,3133333333,121,148,64,64
95,3166666666,122,148,64,64
96,3200000000,123,148,64,64
97,3233333333,124,148,64,64
98,3266666666,125,148,64,64
99,3300000000,126,148,64,64
100,3333333333,127,148,64,64
101,3366666666,128,148,64,64
102,3400000000,130,148,64,64
103,3433333333,131,148,64,64
104,3466666666,132,148,64,64
105,3500000000,133,148,64,64
106,3533333333,134,148,64,64
107,3566666666,135,148,64,64
108,3600000000,136,148,64,64
109,3633333333,137,148,64,64
110,3666666666,138,148,64,64
111,3700000000,139,148,64,64
112,3733333333,140,148,64,64
113,3766666666,141,148,64,64
114,3800000000,142,148,64,64
115,3833333333,144,148,64,64
116,3866666666,145,148,64,64
117,3900000000,146,148,64,64
118,3933333333,147,148,64,64
119,3966666666,148,148,64,64
120,4000000000,149,148,64,64
121,4033333333,150,148,64,64
122,4066666666,151,148,64,64
123,4100000000,152,148,64,64
124,4133333333,153,148,64,64
125,4166666666,154,148,64,64
126,4200000000,155,148,64,64
127,4233333333,156,148,64,64
128,4266666666,157,148,64,64
129,4300000000,159,148,64,64
130,4333333333,160,148,64,64
131,4366666666,161,148,64,64
132,4400000000,162,148,64,64
133,4433333333,163,148,64,64
134,4466666666,164,148,64,64
135,4500000000,165,148,64,64
136,4533333333,166,148,64,64
137,4566666666,167,148,64,64
138,4600000000,168,148,64,64
139,4633333333,169,148,64,64
140,4666666666,170,148,64,64
141,4700000000,171,148,64,64
142,4733333333,173,148,64,64
143,4766666666,174,148,64,64
144,4800000000,175,148,64,64
145,4833333333,176,148,64,64
146,4866666666,177,148,64,64
147,4900000000,178,148,64,64
148,4933333333,179,148,64,64
149,4966666666,180,148,64,64
150,5000000000,181,148,64,64
151,5033333333,182,148,64,64
152,5066666666,183,148,64,64
153,5100000000,184,148,64,64
154,5133333333,185,148,64,64
155,5166666666,186,148,64,64
156,5200000000,188,148,64,64
157,5233333333,189,148,64,64
158,5266666666,190,148,64,64
159,5300000000,191,148,64,64
160,5333333333,192,148,64,64
161,5366666666,193,148,64,64
162,5400000000,194,148,64,64
163,5433333333,195,148,64,64
164,5466666666,196,148,64,64
165,5500000000,197,148,64,64
166,5533333333,198,148,64,64
167,5566666666,199,148,64,64
168,5600000000,200,148,64,64
169,5633333333,202,148,64,64
170,5666666666,203,148,64,64
171,5700000000,204,148,64,64
172,5733333333,205,148,64,64
173,5766666666,206,148,64,64
174,5800000000,207,148,64,64
175,5833333333,208,148,64,64
176,5866666666,209,148,64,64
177,5900000000,210,148,64,64
178,5933333333,211,148,64,64
179,5966666666,212,148,64,64
180,6000000000,213,148,64,64
181,6033333333,214,148,64,64
182,6066666666,215,148,64,64
183,6100000000,217,148,64,64
184,6133333333,218,148,64,64
185,6166666666,219,148,64,64
186,6200000000,220,148,64,64
187,6233333333,221,148,64,64
188,6266666666,222,148,64,64
189,6300000000,223,148,64,64
190,6333333333,224,148,64,64
191,6366666666,225,148,64,64
192,6400000000,226,148,64,64
193,6433333333,227,148,64,64
194,6466666666,228,148,64,64
195,6500000000,229,148,64,64
196,6533333333,231,148,64,64
197,6566666666,232,148,64,64
198,6600000000,233,148,64,64
199,6633333333,234,148,64,64
200,6666666666,235,148,64,64
201,6700000000,236,148,64,64
202,6733333333,237,148,64,64
203,6766666666,238,148,64,64
204,6800000000,239,148,64,64
205,6833333333,240,148,64,64
206,6866666666,241,148,64,64
207,6900000000,242,148,64,64
208,6933333333,243,148,64,64
209,6966666666,244,148,64,64
210,7000000000,246,148,64,64
211,7033333333,247,148,64,64
212,7066666666,248,148,64,64
213,7100000000,249,148,64,64
214,7133333333,250,148,64,64
215,7166666666,251,148,64,64
216,7200000000,252,148,64,64
217,7233333333,253,148,64,64
218,7266666666,254,148,64,64
219,7300000000,255,148,64,64
220,7333333333,256,148,64,64
221,7366666666,257,148,64,64
222,7400000000,258,148,64,64
223,7433333333,260,148,64,64
224,7466666666,261,148,64,64
225,7500000000,262,148,64,64
226,7533333333,263,148,64,64
227,7566666666,264,148,64,64
228,7600000000,265,148,64,64
229,7633333333,266,148,64,64
230,7666666666,267,148,64,64
231,7700000000,268,148,64,64
232,7733333333,269,148,64,64
233,7766666666,270,148,64,64
234,7800000000,271,148,64,64
235,7833333333,272,148,64,64
236,7866666666,273,148,64,64
237,7900000000,275,148,64,64
238,7933333333,276,148,64,64
239,7966666666,277,148,64,64
240,8000000000,278,148,64,64
241,8033333333,279,148,64,64
242,8066666666,280,148,64,64
243,8100000000,281,148,64,64
244,8133333333,282,148,64,64
245,8166666666,283,148,64,64
246,8200000000,284,148,64,64
247,8233333333,285,148,64,64
248,8266666666,286,148,64,64
249,8300000000,287,148,64,64
250,8333333333,289,148,64,64
251,8366666666,290,148,64,64
252,8400000000,291,148,64,64
253,8433333333,292,148,64,64
254,8466666666,293,148,64,64
255,8500000000,294,148,64,64
256,8533333333,295,148,64,64
257,8566666666,296,148,64,64
258,8600000000,297,148,64,64
259,8633333333,298,148,64,64
260,8666666666,299,148,64,64
261,8700000000,300,148,64,64
262,8733333333,301,148,64,64
263,8766666666,303,148,64,64
264,8800000000,304,148,64,64
265,8833333333,305,148,64,64
266,8866666666,306,148,64,64
267,8900000000,307,148,64,64
268,8933333333,308,148,64,64
269,8966666666,309,148,64,64
270,9000000000,310,148,64,64
271,9033333333,311,148,64,64
272,9066666666,312,148,64,64
273,9100000000,313,148,64,64
274,9133333333,314,148,64,64
275,9166666666,315,148,64,64
276,9200000000,316,148,64,64
277,9233333333,318,148,64,64
278,9266666666,319,148,64,64
279,9300000000,320,148,64,64
280,9333333333,321,148,64,64
281,9366666666,322,148,64,64
282,9400000000,323,148,64,64
283,9433333333,324,148,64,64
284,9466666666,325,148,64,64
285,9500000000,326,148,64,64
286,9533333333,327,148,64,64
287,9566666666,328,148,64,64
288,9600000000,329,148,64,64
289,9633333333,330,148,64,64
290,9666666666,332,148,64,64
291,9700000000,333,148,64,64
292,9733333333,334,148,64,64
293,9766666666,335,148,64,64
294,9800000000,336,148,64,64
295,9833333333,337,148,64,64
296,9866666666,338,148,64,64
297,9900000000,339,148,64,64
298,9933333333,340,148,64,64
299,9966666666,341,148,64,64
300,10000000000,342,148,64,64
301,10033333333,343,148,64,64
302,10066666666,344,148,64,64
303,10100000000,345,148,64,64
304,10133333333,347,148,64,64
305,10166666666,348,148,64,64
306,10200000000,349,148,64,64
307,10233333333,350,148,64,64
308,10266666666,351,148,64,64
309,10300000000,352,148,64,64
310,10333333333,353,148,64,64
311,10366666666,354,148,64,64
312,10400000000,355,148,64,64
313,10433333333,356,148,64,64
314,10466666666,357,148,64,64
315,10500000000,358,148,64,64
316,10533333333,359,148,64,64
317,10566666666,361,148,64,64
